School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
Daniel Island School,,2/8/2022,0,3,2022-02-08 08:45:01,0,3
Devon Forest Elementary,,2/8/2022,1,3,2022-02-08 08:45:01,1,8
Fishburne Campus,,2/8/2022,0,0,2022-02-08 08:45:01,0,0
Foxbank Elementary,,2/8/2022,0,8,2022-02-08 08:45:01,0,14
Goose Creek Elementary,,2/8/2022,0,0,2022-02-08 08:45:01,0,0
Goose Creek High,,2/8/2022,1,3,2022-02-08 08:45:01,0,8
Hanahan Elementary,,2/8/2022,0,4,2022-02-08 08:45:01,0,4
Hanahan High,,2/8/2022,0,0,2022-02-08 08:45:01,0,0
Hanahan Middle,,2/8/2022,0,7,2022-02-08 08:45:01,0,9
Howe Hall Aims,,2/8/2022,0,2,2022-02-08 08:45:01,0,9
Jk Goudin Elementary,,2/8/2022,0,0,2022-02-08 08:45:01,0,0
Macedonia Middle,,2/8/2022,0,3,2022-02-08 08:45:01,0,19
Marrington Elementary,,2/8/2022,0,3,2022-02-08 08:45:01,1,18
Marrington Middle,,2/8/2022,0,4,2022-02-08 08:45:01,0,3
Mt Holly Elementary,,2/8/2022,2,1,2022-02-08 08:45:01,1,3
Nexton Elementary,,2/8/2022,1,6,2022-02-08 08:45:01,0,13
Philip Simmons Elementary,,2/8/2022,0,11,2022-02-08 08:45:01,0,26
Philip Simmons High,,2/8/2022,0,1,2022-02-08 08:45:01,0,4
Philip Simmons Middle,,2/8/2022,0,2,2022-02-08 08:45:01,0,6
Sangaree Elementary,,2/8/2022,0,1,2022-02-08 08:45:01,0,1
Sangaree Intermediate,,2/8/2022,0,1,2022-02-08 08:45:01,0,2
Sangaree Middle,,2/8/2022,0,1,2022-02-08 08:45:01,0,0
Sedgefield Middle,,2/8/2022,1,0,2022-02-08 08:45:01,0,3
St Stephen Elementary,,2/8/2022,0,5,2022-02-08 08:45:01,0,7
St Stephen Middle,,2/8/2022,0,1,2022-02-08 08:45:01,0,1
Stratford High,,2/8/2022,0,14,2022-02-08 08:45:01,0,28
Timberland High,,2/8/2022,3,1,2022-02-08 08:45:01,0,4
Westview Elementary,,2/8/2022,0,3,2022-02-08 08:45:01,0,3
Westview Middle,,2/8/2022,0,8,2022-02-08 08:45:01,0,33
Westview Primary,,2/8/2022,1,3,2022-02-08 08:45:01,1,16
Whitesville Elementary,,2/8/2022,1,9,2022-02-08 08:45:01,0,52
Berkeley County School District,,2/9/2022,24,173,2022-02-09 05:30:05,8,557
Central Offices,,2/9/2022,1,0,2022-02-09 05:30:05,0,0
Maintenance,,2/9/2022,1,0,2022-02-09 05:30:05,0,0
Technology,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Transportation,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Child Nutrition,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Adult Education,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
Berkeley Alternative,,2/9/2022,0,0,2022-02-09 05:30:05,0,0
