School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
College Park Elementary,,11/19/2021,0,2,2021-11-19 03:55:10,0,7
College Park Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Cross Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Cross High,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Daniel Island School,,11/19/2021,3,15,2021-11-19 03:55:10,0,59
Devon Forest Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,2
Fishburne Campus,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Foxbank Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Goose Creek Elementary,,11/19/2021,0,3,2021-11-19 03:55:10,0,10
Goose Creek High,,11/19/2021,0,0,2021-11-19 03:55:10,0,1
Hanahan Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,12
Hanahan High,,11/19/2021,0,1,2021-11-19 03:55:10,0,1
Hanahan Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Howe Hall Aims,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Jk Goudin Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Macedonia Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,1
Marrington Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,0
Marrington Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,1
Mt Holly Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,0
Nexton Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,1
Philip Simmons Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,11
Philip Simmons High,,11/19/2021,0,3,2021-11-19 03:55:10,0,9
Philip Simmons Middle,,11/19/2021,1,0,2021-11-19 03:55:10,0,0
Sangaree Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Sangaree Intermediate,,11/19/2021,0,0,2021-11-19 03:55:10,0,1
Sangaree Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,13
Sedgefield Middle,,11/19/2021,0,2,2021-11-19 03:55:10,0,2
St Stephen Elementary,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
St Stephen Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,0
Stratford High,,11/19/2021,0,0,2021-11-19 03:55:10,0,5
Timberland High,,11/19/2021,0,2,2021-11-19 03:55:10,0,6
Westview Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,0
Westview Middle,,11/19/2021,0,0,2021-11-19 03:55:10,0,1
Westview Primary,,11/19/2021,0,1,2021-11-19 03:55:10,0,2
Whitesville Elementary,,11/19/2021,0,1,2021-11-19 03:55:10,0,3
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay High,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Whitesville Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay High,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Whitesville Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay High,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Whitesville Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay High,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Whitesville Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay High,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Whitesville Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley County School District,,11/22/2021,1,33,2021-11-22 02:52:52,0,166
Central Offices,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Maintenance,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Technology,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Transportation,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Alternative,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Berkeley Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley High School,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Berkeley Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Berkeley Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Berkeley Middle College,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Bonner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Boulder Bluff Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,5
Bowens Corner Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cainhoy Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cane Bay Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Cane Bay Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,19
College Park Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
College Park Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Cross High,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Daniel Island School,,11/22/2021,1,14,2021-11-22 02:52:52,0,61
Devon Forest Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Fishburne Campus,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Foxbank Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Goose Creek Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,5
Goose Creek High,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Hanahan Elementary,,11/22/2021,0,2,2021-11-22 02:52:52,0,13
Hanahan High,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Hanahan Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Howe Hall Aims,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Jk Goudin Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Macedonia Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Marrington Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,0
Marrington Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Mt Holly Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Nexton Elementary,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Philip Simmons Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,3
Philip Simmons High,,11/22/2021,0,2,2021-11-22 02:52:52,0,9
Philip Simmons Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Sangaree Intermediate,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Sangaree Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,13
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
Sedgefield Middle,,11/22/2021,0,1,2021-11-22 02:52:52,0,1
St Stephen Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Stratford High,,11/22/2021,0,0,2021-11-22 02:52:52,0,4
Timberland High,,11/22/2021,0,2,2021-11-22 02:52:52,0,6
Westview Elementary,,11/22/2021,0,0,2021-11-22 02:52:52,0,0
Westview Middle,,11/22/2021,0,0,2021-11-22 02:52:52,0,1
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Westview Primary,,11/22/2021,0,1,2021-11-22 02:52:52,0,2
Berkeley County School District,,11/30/2021,4,15,2021-11-30 09:41:39,0,61
Central Offices,,11/30/2021,1,0,2021-11-30 09:41:39,0,0
Maintenance,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Technology,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Transportation,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Berkeley Alternative,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Berkeley Elementary,,11/30/2021,0,0,2021-11-30 09:41:39,0,2
Berkeley High School,,11/30/2021,0,0,2021-11-30 09:41:39,0,1
Berkeley Intermediate,,11/30/2021,0,1,2021-11-30 09:41:39,0,0
Berkeley Middle,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Berkeley Middle College,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Bonner Elementary,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
Boulder Bluff Elementary,,11/30/2021,0,2,2021-11-30 09:41:39,0,4
Bowens Corner Elementary,,11/30/2021,0,0,2021-11-30 09:41:39,0,0
